date,country/region,y/cases,y_cases_increasing_rate,y/death,y_cases_increasing_rate,population,GDPPC,%_ages_0-14  ,%_ages_15-64  ,%_ages_65+,temperature,C1_School closing,C1_Flag,C1_Notes,C2_Workplace closing,C2_Flag,C2_Notes,C3_Cancel public events,C3_Flag,C3_Notes,C4_Restrictions on gatherings,C4_Flag,C4_Notes,C5_Close public transport,C5_Flag,C5_Notes,C6_Stay at home requirements,C6_Flag,C6_Notes,C7_Restrictions on internal movement,C7_Flag,C7_Notes,C8_International travel controls,C8_Notes,E1_Income support,E1_Flag,E1_Notes,E2_Debt/contract relief,E2_Notes,E3_Fiscal measures,E3_Notes,E4_International support,E4_Notes,H1_Public information campaigns,H1_Flag,H1_Notes,H2_Testing policy,H2_Notes,H3_Contact tracing,H3_Notes,H4_Emergency investment in healthcare,H4_Notes,H5_Investment in vaccines,H5_Notes,H6_Facial Coverings,H6_Flag,H6_Notes,M1_Wildcard,M1_Notes,StringencyIndexForDisplay,StringencyLegacyIndexForDisplay,GovernmentResponseIndexForDisplay,ContainmentHealthIndexForDisplay,EconomicSupportIndexForDisplay,Social support,Healthy life expectancy,Freedom to make life choices,Generosity,Perceptions of corruption,cases_1_day_before,cases_2_day_before,cases_3_day_before,cases_4_day_before,cases_5_day_before
14/03/2020,China,19,-0.1363636364,15,0.6666666667,1433783692,10582.1,17.8045083,70.7232986,11.472193,1.666,3,1,,3,0,,2,0,,4,0,,2,0,Public transport services resume in some cities in Hubei Province. Link: http://www.hubei.gov.cn/zhuanti/2020/gzxxgzbd/sz/202003/t20200315_2181911.shtml,3,0,,2,0,Some inter-city transport services resume in Hubei Province. Link: https://web.archive.org/web/20200823201205/http://www.hubei.gov.cn/zhuanti/2020/gzxxgzbd/sz/202003/t20200315_2181911.shtml,2,,0,,,0,,0,,0,,2,1,,2,,2,,0,,0,,3,0,,,,81.02,78.1,68.45,79.86,0,1.125,0.893,0.521,0.058,0.1,22,25,43,23,44
15/03/2020,China,22,-0.12,9,-0.3076923077,1433783692,10582.1,17.8045083,70.7232986,11.472193,1.666,3,1,,3,0,,2,0,,4,0,,2,0,,3,0,,2,0,,2,,0,,,0,,0,,0,,2,1,,2,,2,,0,,0,,3,0,,,,81.02,78.1,68.45,79.86,0,1.125,0.893,0.521,0.058,0.1,25,43,23,44,99
16/03/2020,China,25,-0.4186046512,13,0.4444444444,1433783692,10582.1,17.8045083,70.7232986,11.472193,1.666,3,0,"""Over 1.5 million students in their final year of senior and junior high schools in China's Guizhou Province and Xinjiang Uygur Autonomous Region returned to school Monday, as the coronavirus spread has been basically curbed. Over 2,400 high schools in southwest China's Guizhou reopened, involving more than 990,000 students, the provincial education department said."" https://web.archive.org/web/20200317021256/http://www.china.org.cn/china/2020-03/17/content_75823811.htm Schools set to open 7th April. https://web.archive.org/web/20200403113926/https://www.globaltimes.cn/content/1184165.shtml",3,0,,2,0,,4,0,,2,0,,3,0,,2,0,,2,,0,,,0,,0,,0,,2,1,,2,,2,,0,,0,,3,0,,,,79.17,74.52,67.26,78.47,0,1.125,0.893,0.521,0.058,0.1,43,23,44,99,52
17/03/2020,China,43,0.8695652174,9,-0.4375,1433783692,10582.1,17.8045083,70.7232986,11.472193,1.666,3,0,,3,0,90% people return to work except Hubei https://baijiahao.baidu.com/s?id=1661379902772644058&wfr=spider&for=pc,2,0,,4,0,,2,0,,3,0,,2,0,,2,,0,,,0,,0,,0,,2,1,,2,,2,,0,,0,,3,0,"The National Health Commission issued the ""notice on guiding the public to wear masks scientifically"", in situations where staying at home, in outdoor open space, no gathering and the ventilation is good, people do not need to wear masks. For mid and low-risk areas, masks are required when the social distance is less than 1 meter. By 17 March, only Wuhan stays at high-risk area. https://archive.vn/mRT0n",,,79.17,74.52,67.26,78.47,0,1.125,0.893,0.521,0.058,0.1,23,44,99,52,65
18/03/2020,China,23,-0.4772727273,16,1,1433783692,10582.1,17.8045083,70.7232986,11.472193,1.666,3,0,,3,0,,2,0,,4,0,,2,0,,3,0,,2,0,,2,,0,,,0,,0,,0,,2,1,,2,,2,,0,,0,,3,0,,,,79.17,74.52,67.26,78.47,0,1.125,0.893,0.521,0.058,0.1,44,99,52,65,138
19/03/2020,China,44,-0.5555555556,8,1,1433783692,10582.1,17.8045083,70.7232986,11.472193,1.666,3,0,,3,0,Some provinces in china had restrictions eased after the 25th. https://www.stuff.co.nz/world/asia/120581983/china-further-eases-restrictions-that-kept-millions-at-home-in-coronavirus-epicentre,2,0,"different cities have different time http://www.gov.cn/xinwen/2020-01/29/content_5472946.htmhttp://www.gov.cn/xinwen/2020-02/02/content_5473879.htm Beijing and Shanghai come out of lockdown on Wednesday 25th. https://blooloop.com/news/china-coronavirus-lockdown-lifted-hubei/, https://www.ft.com/content/96eba8ff-3b99-4e71-8df4-7e4ea70c6869",4,0,,2,0,Public transport closed in Wuhan: https://www.theguardian.com/world/2020/mar/19/chinas-coronavirus-lockdown-strategy-brutal-but-effective,3,0,,2,0,China to lift travel restrictions from wuhan in april: https://web.archive.org/web/20200823201209if_/https://www.forbes.com/sites/jamesasquith/2020/03/27/china-to-lift-travel-restrictions-from-april-8-residents-in-wuhan-will-be-allowed-to-travel-again/#443324ce2e32,2,,0,,,0,,0,,0,,2,1,,2,,2,,0,,0,,3,0,,,,79.17,74.52,67.26,78.47,0,1.125,0.893,0.521,0.058,0.1,99,52,65,138,69
20/03/2020,China,99,0.9038461538,4,-0.3333333333,1433783692,10582.1,17.8045083,70.7232986,11.472193,1.666,3,0,,3,0,,2,0,,4,0,,2,0,,3,0,,2,0,,2,,0,,,0,,0,,0,"The Chinese government has announced assistance to 82 countries, WHO and the African Union, including testing reagents, masks and protective suits, many of which have already been delivered to the recipients. https://web.archive.org/web/20200823201407/https://www.fmprc.gov.cn/mfa_eng/topics_665678/kjgzbdfyyq/t1759145.shtml",2,1,,2,,2,,0,,0,,3,0,,,,79.17,74.52,67.26,78.47,0,1.125,0.893,0.521,0.058,0.1,52,65,138,69,78
21/03/2020,China,52,-0.2,6,0,1433783692,10582.1,17.8045083,70.7232986,11.472193,1.666,3,0,,3,0,,2,0,,4,0,,2,0,,3,0,,2,0,,2,,0,,,0,,0,,0,,2,1,,2,,2,,0,,0,,3,0,,,,79.17,74.52,67.26,78.47,0,1.125,0.893,0.521,0.058,0.1,65,138,69,78,102
22/03/2020,China,65,-0.5289855072,6,-0.3333333333,1433783692,10582.1,17.8045083,70.7232986,11.472193,1.666,3,0,,3,0,,2,0,,4,0,,2,0,,3,0,Wuhan municipal bureau of commerce announced on 20 March that grocery outlets in residential communities and villages without existing confirmed or suspected COVID-19 cases can resume business. Each household can send one person a day to go shopping daily necessities with a one-time pass certificate or an electronic health code. Each shopping trip will be limited to within two hours. Source: https://web.archive.org/web/20200511062600/http://www.xinhuanet.com/english/2020-03/24/c_138912540.htm ; https://web.archive.org/web/20200511063916/http://www.gov.cn/xinwen/2020-03/21/content_5493803.htm,2,0,,2,,0,,,0,,0,,0,,2,1,,2,,2,,0,,0,,3,0,,,,79.17,74.52,67.26,78.47,0,1.125,0.893,0.521,0.058,0.1,138,69,78,102,94
23/03/2020,China,138,1,9,0.2857142857,1433783692,10582.1,17.8045083,70.7232986,11.472193,1.666,3,0,,3,0,,2,0,,4,0,,2,0,,3,0,,2,0,,2,,0,,,0,,0,,0,,2,1,,2,,2,,0,,0,,3,0,,,,79.17,74.52,67.26,78.47,0,1.125,0.893,0.521,0.058,0.1,69,78,102,94,119
