,date,country/region,y/cases,y_cases_increasing_rate,y/death,y_cases_increasing_rate.1,population,GDPPC,%_ages_0-14  ,%_ages_15-64  ,%_ages_65+,temperature,C1_School closing,C1_Flag,C1_Notes,C2_Workplace closing,C2_Flag,C2_Notes,C3_Cancel public events,C3_Flag,C3_Notes,C4_Restrictions on gatherings,C4_Flag,C4_Notes,C5_Close public transport,C5_Flag,C5_Notes,C6_Stay at home requirements,C6_Flag,C6_Notes,C7_Restrictions on internal movement,C7_Flag,C7_Notes,C8_International travel controls,C8_Notes,E1_Income support,E1_Flag,E1_Notes,E2_Debt/contract relief,E2_Notes,E3_Fiscal measures,E3_Notes,E4_International support,E4_Notes,H1_Public information campaigns,H1_Flag,H1_Notes,H2_Testing policy,H2_Notes,H3_Contact tracing,H3_Notes,H4_Emergency investment in healthcare,H4_Notes,H5_Investment in vaccines,H5_Notes,H6_Facial Coverings,H6_Flag,H6_Notes,M1_Wildcard,M1_Notes,StringencyIndexForDisplay,StringencyLegacyIndexForDisplay,GovernmentResponseIndexForDisplay,ContainmentHealthIndexForDisplay,EconomicSupportIndexForDisplay,Social support,Healthy life expectancy,Freedom to make life choices,Generosity,Perceptions of corruption,cases_1_day_before,cases_2_day_before,cases_3_day_before,cases_4_day_before,cases_5_day_before
1787,10/07/2020,Brazil,42619,-0.043795293,1220,-0.002452984,211049519,6450.451,21.0091937,69.7391982,9.25160804,24.27,3,0,,3,0,,2,0,,4,0,,2,0,,2,0,,2,0,,4,,1,1,,1,,0,,0,,2,1,,2,,2,,30740000.3,"To guarantee the protection of health professionals who work on the front line of the fight against Covid-19, the Ministry of Health has already distributed $RS163.3 million Personal Protective Equipment (PPE) throughout the country. Among the items are masks, aprons, glasses and face shields, caps, sneakers, gloves and alcohol. Deliveries are to assist and strengthen the health networks of states and municipalities in combating the Covid-19 pandemic. Note: this amount could be double-counting with data for H4 Link: http://web.archive.org/web/20200716184324/https://www.gov.br/pt-br/noticias/saude-e-vigilancia-sanitaria/2020/07/ministerio-da-saude-ja-distribuiu-mais-de-r-163-milhoes-de-epis",0,,4,0,,,,81.02,80.48,77.38,81.94,50,1.439,0.802,0.39,0.099,0.086,44571,45305,20229,26051,37923
1788,09/07/2020,Brazil,44571,-0.016201302,1223,-0.024720893,211049519,6450.451,21.0091937,69.7391982,9.25160804,24.27,3,0,,3,0,,2,0,,4,0,,2,0,,2,0,,2,0,,4,,1,1,,1,,0,,0,,2,1,,2,,2,,0,,0,,4,0,,,,81.02,80.48,77.38,81.94,50,1.439,0.802,0.39,0.099,0.086,45305,20229,26051,37923,42223
1789,08/07/2020,Brazil,45305,1.239606506,1254,1.022580645,211049519,6450.451,21.0091937,69.7391982,9.25160804,24.27,3,0,,3,0,,2,0,,4,0,,2,0,,2,0,,2,0,,4,,1,1,,1,Government exempted collection of Credit Opening Tariff for program credit line http://web.archive.org/web/20200716191748/https://www.gov.br/pt-br/noticias/trabalho-e-previdencia/2020/07/micro-e-pequenos-empresarios-contam-com-linha-de-credito-durante-pandemia,0,,0,,2,1,,2,,2,,0,,0,,4,0,,,,81.02,80.48,77.38,81.94,50,1.439,0.802,0.39,0.099,0.086,20229,26051,37923,42223,48105
1790,07/07/2020,Brazil,20229,-0.223484703,620,0.029900332,211049519,6450.451,21.0091937,69.7391982,9.25160804,24.27,3,0,,3,0,,2,0,,4,0,,2,0,,2,0,,2,0,,4,,1,1,"July 7 - Law no. 14.020 institutes the Emergency Employment and Income Maintenance Program. The new law originates from Provisional Measure 936, issued by the government in early April. The program provides for the granting of the Emergency Employment and Income Preservation Benefit to workers who have reduced working hours or a suspended contract, and also emergency assistance for intermittent workers with a formalized employment contract, under the terms of the provisional measure. The value of the Emergency Employment and Income Preservation Benefit will be based on the calculation of the monthly amount of unemployment insurance to which the employee would be entitled. In the event of temporary suspension of the employment contract, it will have monthly value: I - in the event of a reduction in working hours and wages, it will be calculated by applying the percentage of the reduction to the calculation basis; and II - in the event of temporary suspension of the employment contract, it will have monthly value: a) equivalent to 100% (one hundred percent) of the unemployment insurance amount to which the employee would be entitled b) equivalent to 70% (seventy percent) of the unemployment insurance amount to which the employee would be entitled Link: http://web.archive.org/web/20200716181745/http://www.in.gov.br/en/web/dou/-/lei-n-14.020-de-6-de-julho-de-2020-265386938 http://web.archive.org/web/20200716182541/https://www.gov.br/economia/pt-br/centrais-de-conteudo/publicacoes/boletins/covid-19/timeline/julho/7-de-julho-de-2020 No official declaration on the amount of the measure was mentioned. However, to guarantee the payment of the so-called Emergency Job and Income Preservation Benefit (BEm), the federal government will have to invest between R $ 26.1 and R $ 52.6 billion, according to an analysis by the Independent Tax Institution (IFI) of the Senate. Link: http://web.archive.org/web/20200716182524/https://www2.senado.leg.br/bdsf/bitstream/handle/id/574054/NT44.pdf Link:http://web.archive.org/web/20200716182552/https://www12.senado.leg.br/noticias/materias/2020/07/06/uniao-investira-ate-r-53-bi-para-compensar-reducao-de-salario-e-jornada-avalia-ifi",1,,0,"July 7 - Law no. 14.020 institutes the Emergency Employment and Income Maintenance Program. The new law originates from Provisional Measure 936, issued by the government in early April. The program provides for the granting of the Emergency Employment and Income Preservation Benefit to workers who have reduced working hours or a suspended contract, and also emergency assistance for intermittent workers with a formalized employment contract, under the terms of the provisional measure. Link: http://web.archive.org/web/20200716181745/http://www.in.gov.br/en/web/dou/-/lei-n-14.020-de-6-de-julho-de-2020-265386938 http://web.archive.org/web/20200716182541/https://www.gov.br/economia/pt-br/centrais-de-conteudo/publicacoes/boletins/covid-19/timeline/julho/7-de-julho-de-2020 No official declaration on the amount of the measure was mentioned. However, to guarantee the payment of the so-called Emergency Job and Income Preservation Benefit (BEm), the federal government will have to invest between R $ 26.1 and R $ 52.6 billion, according to an analysis by the Independent Tax Institution (IFI) of the Senate. I assumed that the amount would fall under the previously announced budget at the beginning of April. Link: http://web.archive.org/web/20200716182524/https://www2.senado.leg.br/bdsf/bitstream/handle/id/574054/NT44.pdf Link:http://web.archive.org/web/20200716182552/https://www12.senado.leg.br/noticias/materias/2020/07/06/uniao-investira-ate-r-53-bi-para-compensar-reducao-de-salario-e-jornada-avalia-ifi",0,,2,1,,2,,2,,0,,0,,4,0,,,,81.02,80.48,77.38,81.94,50,1.439,0.802,0.39,0.099,0.086,26051,37923,42223,48105,46712
1791,06/07/2020,Brazil,26051,-0.313055402,602,-0.448212649,211049519,6450.451,21.0091937,69.7391982,9.25160804,24.27,3,0,,3,0,,2,0,,4,0,,2,0,,2,0,,2,0,,4,,1,1,,1,"To reduce the impact on distributors and consumers, the Federal Government carried out a series of actions, such as the suspension of the electricity cut due to non-payment from April to the end of July. An exemption from energy tariffs for low-income consumers was also instituted for 90 days. Link: http://web.archive.org/web/20200716190150/https://www.aneel.gov.br/sala-de-imprensa-exibicao-2/-/asset_publisher/zXQREz8EVlZ6/content/covid-19-aneel-publica-esclarecimentos-sobre-isencao-de-tarifa-para-baixa-renda/656877?inheritRedirect=false",0,,0,,2,1,,2,,2,,0,,0,,4,0,,,,81.02,80.48,77.38,81.94,50,1.439,0.802,0.39,0.099,0.086,37923,42223,48105,46712,33846
1792,05/07/2020,Brazil,37923,-0.101840229,1091,-0.154263566,211049519,6450.451,21.0091937,69.7391982,9.25160804,24.27,3,0,,3,0,,2,0,,4,0,,2,0,,2,0,,2,0,,4,,1,1,,1,,0,,0,,2,1,,2,,2,,0,,0,,4,0,,,,81.02,80.48,77.38,81.94,50,1.439,0.802,0.39,0.099,0.086,42223,48105,46712,33846,24052
1793,04/07/2020,Brazil,42223,-0.122274192,1290,0.030351438,211049519,6450.451,21.0091937,69.7391982,9.25160804,24.27,3,0,,3,0,,2,0,,4,0,,2,0,,2,0,,2,0,,4,,1,1,,1,,0,,0,,2,1,,2,,2,,0,,0,,4,0,,,,81.02,80.48,77.38,81.94,50,1.439,0.802,0.39,0.099,0.086,48105,46712,33846,24052,30476
1794,03/07/2020,Brazil,48105,0.029821031,1252,0.206165703,211049519,6450.451,21.0091937,69.7391982,9.25160804,24.27,3,0,,3,0,Policy varies at the subnational level. Link: http://web.archive.org/web/20200715181647/https://correio.rac.com.br/_conteudo/2020/07/mundo/960546-saiba-como-estao-os-planos-de-retomada.html,2,0,Policy varies at the subnational level. Link: http://web.archive.org/web/20200715181647/https://correio.rac.com.br/_conteudo/2020/07/mundo/960546-saiba-como-estao-os-planos-de-retomada.html,4,0,"The policy varies subnationally. There are still areas under full lockdown. For instance in the city of Castro (http://web.archive.org/web/20200715183255/https://www.gazetadopovo.com.br/parana/castro-vazio-sanitario-testes-rapidos-covid-19/) and in the neighborhood of Morumbi (http://web.archive.org/web/20200715183851/https://www.radioculturafoz.com.br/2020/07/15/bairro-morumbi-tera-toque-de-recolher-a-partir-desta-quinta-feira-16/), while in other areas restrictions on gatherings are being removed (http://web.archive.org/web/20200715184448/https://noticias.uol.com.br/cotidiano/ultimas-noticias/2020/07/03/reabertura-bares-rio-de-janeiro-aglomeracao.htm). For other state-level examples: http://web.archive.org/web/20200715181647/https://correio.rac.com.br/_conteudo/2020/07/mundo/960546-saiba-como-estao-os-planos-de-retomada.html",2,0,"Policy varies at subnational level. For instance: City of Blumenau: Beginning on July 14, intercity and interstate passenger transport, whether public or private, will be stopped for fourteen consecutive days, including the closure of the local bus station. http://web.archive.org/web/20200715175316/https://diariodotransporte.com.br/2020/07/13/transporte-publico-em-blumenau-sera-suspenso-a-partir-de-terca-14/ State of Bahia: The government of Bahia suspended intermunicipal transport in three more cities as a measure to combat the spread of the coronavirus. A decree published on Friday (3) determined the closure of the Antas, Ibipeba, Jussara and Palmeiras bus stations. The measure goes into effect from Saturday (4). In total, the state has 351 cities with suspended intercity transport. http://web.archive.org/web/20200715174714/https://g1.globo.com/ba/bahia/noticia/2020/07/03/bahia-tem-mais-quatro-cidades-com-transporte-intermunicipal-suspenso-lista-reune-351-municipios.ghtml City of Rio de Janeiro: The city of Rio de Janeiro defined new protection measures for the use of public transport during the easing of social isolation in the city. The measures, published in the Official Gazette on Thursday (25), are part of the plan to resume services in the municipality. As announced by Mayor Marcelo Crivella on Monday (22), buses and BRTs can circulate with standing passengers , but must operate with a limited number of people and respect the distance of two passengers per square meter. http://web.archive.org/web/20200715175234/https://g1.globo.com/rj/rio-de-janeiro/noticia/2020/06/25/prefeitura-define-normas-de-protecao-no-transporte-publico-durante-flexibilizacao-no-rio.ghtml",2,0,"The policy varies subnationally. While some states are allowing for people to circulate, in other states there is still a ban on leaving home (with the exception of essential activities). For instance in the city of Castro'(http://web.archive.org/web/20200715183255/https://www.gazetadopovo.com.br/parana/castro-vazio-sanitario-testes-rapidos-covid-19/) and in the neighborhood of Morumbi (http://web.archive.org/web/20200715183851/https://www.radioculturafoz.com.br/2020/07/15/bairro-morumbi-tera-toque-de-recolher-a-partir-desta-quinta-feira-16/)",2,0,,4,,1,1,,1,,0,,0,,2,1,,2,"Testing available for symptomatic patients. Link: http://web.archive.org/web/20200715191159/https://www.em.com.br/app/noticia/nacional/2020/07/10/interna_nacional,1165579/entenda-quem-pode-fazer-teste-para-coronavirus-pelo-plano-de-saude.shtml http://web.archive.org/web/20200715191501/http://portal.anvisa.gov.br/documents/219201/4340788/Perguntas+e+respostas+-+testes+para+Covid-19.pdf/9fe182c3-859b-475f-ac9f-7d2a758e48e7",2,,0,,0,,4,0,"Wearing masks (artisanal or industrial) becomes mandatory in public and private spaces with public access nationwide. However, since 4 requirements are still in place in Ceara, Goias, Bahia, Sao Paulo, Rio de Janeiro, Pernambuco, Alagoas, Parana, Maranhao, Para, Distrito Federal, Piaui, Tocantins, Sergipe, Roraima, Rondonia, Mato Grosso, 4T maintained. It is also expected in collective and individual transportation (passengers can be forbidden to enter without masks). Specific local regulation will establish fines in case of violation. Bolsonaro vetoed an article that demanded people to wear masks in commercial and industrial establishments, religious temples, educational establishments and other closed venues. Link: https://web.archive.org/web/20201015133951/https://www.gov.br/planalto/pt-br/acompanhe-o-planalto/noticias/2020/07/lei-que-torna-obrigatorio-o-uso-de-mascara-e-sancionada See subnational coding for 4T.",,,81.02,80.48,77.38,81.94,50,1.439,0.802,0.39,0.099,0.086,46712,33846,24052,30476,38693
1795,02/07/2020,Brazil,46712,0.380133546,1038,-0.1890625,211049519,6450.451,21.0091937,69.7391982,9.25160804,24.27,3,0,,2,0,,2,0,,4,0,,2,0,,2,0,,2,0,,4,,1,1,,1,,0,,0,,2,1,,2,,2,,0,,0,,4,0,,,,77.31,76.9,75,79.17,50,1.439,0.802,0.39,0.099,0.086,33846,24052,30476,38693,46860
1796,01/07/2020,Brazil,33846,0.407201064,1280,0.849710983,211049519,6450.451,21.0091937,69.7391982,9.25160804,24.27,3,0,,2,0,,2,0,,4,0,,2,0,,2,0,,2,0,,4,01 JUL (ANSA) - The Brazilian government has extended the ban on foreigners entering the country for another 30 days due to the pandemic of the new coronavirus (Sars-CoV-2). Ordinance No. 340 was published in an extraordinary edition of the Official Gazette on Tuesday (30). Link: http://web.archive.org/web/20200715071625/https://noticias.uol.com.br/ultimas-noticias/ansa/2020/07/01/governo-prorroga-decreto-que-proibe-entrada-de-estrangeiros.htm,1,1,,1,,0,,0,,2,1,,2,,2,,0,,0,,4,0,,,,77.31,76.9,75,79.17,50,1.439,0.802,0.39,0.099,0.086,24052,30476,38693,46860,39483
1797,30/06/2020,Brazil,24052,-0.210788817,692,0.253623188,211049519,6450.451,21.0091937,69.7391982,9.25160804,24.27,3,0,,2,0,,2,0,,4,0,,2,0,,2,0,,2,0,,4,,1,1,,1,,0,,0,,2,1,,2,,2,,0,,0,,4,0,,,,77.31,76.9,75,79.17,50,1.439,0.802,0.39,0.099,0.086,30476,38693,46860,39483,42725
1798,29/06/2020,Brazil,30476,-0.212363994,552,-0.502254283,211049519,6450.451,21.0091937,69.7391982,9.25160804,24.59,3,0,,2,0,,2,0,,4,0,,2,0,,2,0,,2,0,,4,,1,1,,1,,0,,0,,2,1,,2,,2,,0,,0,,4,0,,,,77.31,76.9,75,79.17,50,1.439,0.802,0.39,0.099,0.086,38693,46860,39483,42725,39436
1799,28/06/2020,Brazil,38693,-0.174285105,1109,0.12020202,211049519,6450.451,21.0091937,69.7391982,9.25160804,24.59,3,0,,2,0,,2,0,,4,0,,2,0,,2,0,,2,0,,4,,1,1,,1,,0,,0,,2,1,,2,,2,,0,,0,,4,0,,,,77.31,76.9,75,79.17,50,1.439,0.802,0.39,0.099,0.086,46860,39483,42725,39436,21432
1800,27/06/2020,Brazil,46860,0.186839906,990,-0.132340053,211049519,6450.451,21.0091937,69.7391982,9.25160804,24.59,3,0,,2,0,,2,0,,4,0,,2,0,,2,0,,2,0,,4,,1,1,,1,,0,,0,,2,1,,2,,2,,0,,127000000,https://web.archive.org/web/20200702163534/https://www.gov.br/pt-br/noticias/saude-e-vigilancia-sanitaria/2020/06/brasil-entra-em-parceria-para-producao-de-vacina-contra-covid-19,4,0,,,,77.31,76.9,75,79.17,50,1.439,0.802,0.39,0.099,0.086,39483,42725,39436,21432,17459
1801,26/06/2020,Brazil,39483,-0.075880632,1141,-0.037130802,211049519,6450.451,21.0091937,69.7391982,9.25160804,24.59,3,0,,2,0,,2,0,,4,0,,2,0,,2,0,,2,0,,4,,1,1,,1,,0,,0,,2,1,,2,,2,,0,,0,,4,0,,,,77.31,76.9,75,79.17,50,1.439,0.802,0.39,0.099,0.086,42725,39436,21432,17459,34666
1802,25/06/2020,Brazil,42725,0.083400953,1185,-0.137554585,211049519,6450.451,21.0091937,69.7391982,9.25160804,24.59,3,0,,2,0,,2,0,,4,0,,2,0,,2,0,,2,0,,4,,1,1,,1,,0,,0,,2,1,,2,,2,,0,,0,,4,0,,,,77.31,76.9,75,79.17,50,1.439,0.802,0.39,0.099,0.086,39436,21432,17459,34666,54771
1803,24/06/2020,Brazil,39436,0.840052258,1374,1.100917431,211049519,6450.451,21.0091937,69.7391982,9.25160804,24.59,3,0,,2,0,,2,0,,4,0,,2,0,,2,0,,2,0,,4,,1,1,,1,,0,,0,,2,1,,2,,2,,0,,0,,4,0,,,,77.31,76.9,75,79.17,50,1.439,0.802,0.39,0.099,0.086,21432,17459,34666,54771,22765
1804,23/06/2020,Brazil,21432,0.227561716,654,0.020280811,211049519,6450.451,21.0091937,69.7391982,9.25160804,24.59,3,0,,2,0,,2,0,,4,0,,2,0,,2,0,,2,0,,4,,1,1,,1,,0,,0,,2,1,,2,,2,,0,,0,,4,0,,,,77.31,76.9,75,79.17,50,1.439,0.802,0.39,0.099,0.086,17459,34666,54771,22765,32188
1805,22/06/2020,Brazil,17459,-0.496365315,641,-0.372798434,211049519,6450.451,21.0091937,69.7391982,9.25160804,24.59,3,0,,2,0,,2,0,,4,0,,2,0,,2,0,,2,0,,4,,1,1,,1,,0,,0,,2,1,,2,,2,,0,,0,,4,0,,,,77.31,76.9,75,79.17,50,1.439,0.802,0.39,0.099,0.086,34666,54771,22765,32188,34918
1806,21/06/2020,Brazil,34666,-0.367073816,1022,-0.152570481,211049519,6450.451,21.0091937,69.7391982,9.25160804,24.59,3,0,,2,0,,2,0,,4,0,,2,0,,2,0,,2,0,,4,,1,1,,1,,0,,0,,2,1,,2,,2,,0,,0,,4,0,,,,77.31,76.9,75,79.17,50,1.439,0.802,0.39,0.099,0.086,54771,22765,32188,34918,20647
1807,20/06/2020,Brazil,54771,1.405930156,1206,-0.025848142,211049519,6450.451,21.0091937,69.7391982,9.25160804,24.59,3,0,,2,0,,2,0,,4,0,,2,0,,2,0,,2,0,,4,,1,1,,1,,0,,0,,2,1,,2,,2,,0,,0,,4,0,,,,77.31,76.9,75,79.17,50,1.439,0.802,0.39,0.099,0.086,22765,32188,34918,20647,17110
1808,19/06/2020,Brazil,22765,-0.292748851,1238,-0.024428684,211049519,6450.451,21.0091937,69.7391982,9.25160804,24.59,3,0,,2,0,,2,0,,4,0,,2,0,,2,0,,2,0,,4,,1,1,,1,,0,,0,,2,1,,2,,2,,0,,0,,4,0,,,,77.31,76.9,75,79.17,50,1.439,0.802,0.39,0.099,0.086,32188,34918,20647,17110,21704
1809,18/06/2020,Brazil,32188,-0.078183172,1269,-0.010140406,211049519,6450.451,21.0091937,69.7391982,9.25160804,24.59,3,0,,2,0,,2,0,,4,0,,2,0,,2,0,,2,0,,4,,1,1,,1,,0,,0,,2,1,,2,,2,,0,,0,,4,0,,,,77.31,76.9,75,79.17,50,1.439,0.802,0.39,0.099,0.086,34918,20647,17110,21704,25982
1810,17/06/2020,Brazil,34918,0.691190003,1282,1.044657097,211049519,6450.451,21.0091937,69.7391982,9.25160804,24.59,3,0,,2,0,,2,0,,4,0,,2,0,,2,0,,2,0,,4,,1,1,,1,,0,,0,,2,1,,2,,2,,0,,0,,4,0,,,,77.31,76.9,75,79.17,50,1.439,0.802,0.39,0.099,0.086,20647,17110,21704,25982,30412
