date,country/region,y/cases,y_cases_increasing_rate,y/death,y_cases_increasing_rate,population,GDPPC,%_ages_0-14  ,%_ages_15-64  ,%_ages_65+,temperature,C1_School closing,C1_Flag,C1_Notes,C2_Workplace closing,C2_Flag,C2_Notes,C3_Cancel public events,C3_Flag,C3_Notes,C4_Restrictions on gatherings,C4_Flag,C4_Notes,C5_Close public transport,C5_Flag,C5_Notes,C6_Stay at home requirements,C6_Flag,C6_Notes,C7_Restrictions on internal movement,C7_Flag,C7_Notes,C8_International travel controls,C8_Notes,E1_Income support,E1_Flag,E1_Notes,E2_Debt/contract relief,E2_Notes,E3_Fiscal measures,E3_Notes,E4_International support,E4_Notes,H1_Public information campaigns,H1_Flag,H1_Notes,H2_Testing policy,H2_Notes,H3_Contact tracing,H3_Notes,H4_Emergency investment in healthcare,H4_Notes,H5_Investment in vaccines,H5_Notes,H6_Facial Coverings,H6_Flag,H6_Notes,M1_Wildcard,M1_Notes,StringencyIndexForDisplay,StringencyLegacyIndexForDisplay,GovernmentResponseIndexForDisplay,ContainmentHealthIndexForDisplay,EconomicSupportIndexForDisplay,Social support,Healthy life expectancy,Freedom to make life choices,Generosity,Perceptions of corruption,cases_1_day_before,cases_2_day_before,cases_3_day_before,cases_4_day_before,cases_5_day_before
24/02/2020,Brazil,0,0,0,0,211049519,6450.451,21.0091937,69.7391982,9.25160804,26.802,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,0,,,0,,0,,0,,1,1,,1,,0,,0,,0,,0,,,,,5.56,9.52,5.95,6.94,0,1.439,0.802,0.39,0.099,0.086,0,1,0,0,0
25/02/2020,Brazil,0,-1,0,0,211049519,6450.451,21.0091937,69.7391982,9.25160804,26.802,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,0,,,0,,0,,0,,1,1,,1,,0,,0,,0,,0,,,,,5.56,9.52,5.95,6.94,0,1.439,0.802,0.39,0.099,0.086,1,0,0,0,1
26/02/2020,Brazil,1,0,0,0,211049519,6450.451,21.0091937,69.7391982,9.25160804,26.802,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,0,,,0,,0,,0,,1,1,,1,,0,,0,,0,,0,,,,,5.56,9.52,5.95,6.94,0,1.439,0.802,0.39,0.099,0.086,0,0,0,1,0
27/02/2020,Brazil,0,0,0,0,211049519,6450.451,21.0091937,69.7391982,9.25160804,26.802,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,0,,,0,,0,,0,,1,1,,1,,0,,0,,0,,0,,,,,5.56,9.52,5.95,6.94,0,1.439,0.802,0.39,0.099,0.086,0,0,1,0,0
28/02/2020,Brazil,0,0,0,0,211049519,6450.451,21.0091937,69.7391982,9.25160804,26.802,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,0,,,0,,0,,0,,1,1,,1,,0,,0,,0,,0,,,,,5.56,9.52,5.95,6.94,0,1.439,0.802,0.39,0.099,0.086,0,1,0,0,0
29/02/2020,Brazil,0,-1,0,0,211049519,6450.451,21.0091937,69.7391982,9.25160804,26.802,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,0,,,0,,0,,0,,1,1,,1,,0,,0,,0,,0,,,,,5.56,9.52,5.95,6.94,0,1.439,0.802,0.39,0.099,0.086,1,0,0,0,1
01/03/2020,Brazil,1,0,0,0,211049519,6450.451,21.0091937,69.7391982,9.25160804,26.728,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,0,,,0,,0,,0,,1,1,,1,,0,,0,,0,,0,,,,,5.56,9.52,5.95,6.94,0,1.439,0.802,0.39,0.099,0.086,0,0,0,1,5
02/03/2020,Brazil,0,0,0,0,211049519,6450.451,21.0091937,69.7391982,9.25160804,26.728,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,0,,,0,,0,,0,,2,1,"Ministry of Health launches an app to inform the population about Covid-19, including recommendations about symptoms and measures to prevent contamination. Link: https://www.gov.br/pt-br/apps/coronavirus-sus",1,,0,,0,,0,,1,0,The contingency plan in Rio de Janeiro recommended the use of facial coverings to prevent coronavirus for health professionals who care for patients with suspected coronavirus and for these patients. https://web.archive.org/web/20201001124014/http://coronavirus.rj.gov.br/wp-content/uploads/2020/03/02.03-Plano-de-Resposta-de-Coronavi%CC%81rus.pdf,,,11.11,14.29,10.42,12.15,0,1.439,0.802,0.39,0.099,0.086,0,0,1,5,5
03/03/2020,Brazil,0,0,0,0,211049519,6450.451,21.0091937,69.7391982,9.25160804,26.728,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,0,,,0,,0,,0,,2,1,,1,,0,,0,,0,,1,0,,,,11.11,14.29,10.42,12.15,0,1.439,0.802,0.39,0.099,0.086,0,1,5,5,0
04/03/2020,Brazil,0,-1,0,0,211049519,6450.451,21.0091937,69.7391982,9.25160804,26.728,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,0,,,0,,0,,0,,2,1,,1,,0,,0,,0,,1,0,,,,11.11,14.29,10.42,12.15,0,1.439,0.802,0.39,0.099,0.086,1,5,5,0,12
